date,total_bitcoins
8/26/2014,13188244.79
8/29/2014,13202237.5
9/2/2014,13216437.5
9/5/2014,13230672.92
9/9/2014,13244712.5
9/12/2014,13258758.33
9/16/2014,13272820.83
9/19/2014,13286797.92
9/22/2014,13300896.88
9/26/2014,13315060.42
9/30/2014,13328661.46
10/3/2014,13342340.63
10/7/2014,13356262.5
10/11/2014,13369888.54
10/15/2014,13384037.5
10/18/2014,13397589.58
10/22/2014,13411612.5
10/26/2014,13425252.08
10/29/2014,13438876.04
11/2/2014,13452591.67
11/5/2014,13466519.79
11/9/2014,13480337.5
11/13/2014,13493812.5
11/16/2014,13507496.88
11/20/2014,13520995.83
11/24/2014,13534600
11/28/2014,13548401.04
12/2/2014,13562153.13
12/5/2014,13575917.71
12/9/2014,13589765.63
12/13/2014,13603632.29
12/17/2014,13617687.5
12/21/2014,13631731.25
12/25/2014,13645520.83
12/28/2014,13659168.75
1/1/2015,13673289.58
1/4/2015,13687282.29
1/8/2015,13701270.83
1/12/2015,13715038.54
1/16/2015,13728786.46
1/20/2015,13742626.04
1/24/2015,13756452.08
1/28/2015,13770187.5
2/1/2015,13784662.5
2/4/2015,13798507.29
2/8/2015,13812662.5
2/11/2015,13826378.13
2/15/2015,13839762.5
2/19/2015,13853641.67
2/22/2015,13867337.5
2/26/2015,13881147.92
3/2/2015,13895012.5
3/6/2015,13908987.5
3/9/2015,13922734.38
3/13/2015,13936537.5
3/17/2015,13950058.33
3/21/2015,13963738.54
3/25/2015,13977256.25
3/28/2015,13990887.5
4/1/2015,14004507.29
4/4/2015,14018406.25
4/8/2015,14032231.25
4/12/2015,14045937.5
4/16/2015,14059537.5
4/20/2015,14073209.38
4/24/2015,14086861.46
4/28/2015,14100472.92
5/2/2015,14114031.25
5/5/2015,14127712.5
5/9/2015,14141362.5
5/13/2015,14155201.04
5/17/2015,14169219.79
5/20/2015,14182793.75
5/24/2015,14196301.04
5/28/2015,14209862.5
6/1/2015,14223437.5
6/5/2015,14236890.63
6/8/2015,14250621.88
6/12/2015,14264337.5
6/16/2015,14278387.5
6/19/2015,14291993.75
6/23/2015,14305637.5
6/27/2015,14319287.5
7/1/2015,14332837.5
7/5/2015,14346352.08
7/8/2015,14360137.5
7/12/2015,14373547.92
7/15/2015,14386937.5
7/19/2015,14400429.17
7/23/2015,14414112.5
7/27/2015,14428052.08
7/30/2015,14441662.5
8/3/2015,14455405.21
8/7/2015,14468858.33
8/10/2015,14482312.5
8/14/2015,14495762.5
8/18/2015,14509532.29
8/21/2015,14523109.38
8/25/2015,14536678.13
8/29/2015,14550534.38
9/1/2015,14564447.92
9/5/2015,14578037.5
9/9/2015,14591587.5
9/12/2015,14605387.5
9/16/2015,14618912.5
9/20/2015,14632556.25
9/24/2015,14646079.17
9/27/2015,14659862.5
10/1/2015,14673618.75
10/5/2015,14687183.33
10/8/2015,14700787.5
10/12/2015,14714339.58
10/16/2015,14727882.29
10/19/2015,14741537.5
10/23/2015,14755320.83
10/27/2015,14769056.25
10/30/2015,14782446.88
11/3/2015,14795989.58
11/7/2015,14809643.75
11/10/2015,14823102.08
